Format:             MT2DData_1.0
#Description:      Data file generated by MATLAB at 29-Sep-2022 23:37:27
#Comments:         COPROD2 field data
Receiver Location (m):    20
#     Y     Z
        0.00         0.00
    12600.00         0.00
    20500.00         0.00
    28900.00         0.00
    39100.00         0.00
    48600.00         0.00
    57800.00         0.00
    67700.00         0.00
    78500.00         0.00
    87600.00         0.00
    98900.00         0.00
   107600.00         0.00
   118400.00         0.00
   136300.00         0.00
   155300.00         0.00
   168000.00         0.00
   177700.00         0.00
   193000.00         0.00
   209700.00         0.00
   230800.00         0.00
Frequencies (Hz):    12
    1.09866e-03
    2.92997e-03
    8.78735e-03
    2.34357e-02
    7.03235e-02
    1.87512e-01
    5.62430e-01
    1.49992e+00
    4.50045e+00
    1.20005e+01
    3.59971e+01
    9.59693e+01
DataType:  Impedance
DataComp:     2
ZXY
ZYX
Data Block:     470
# FreqNo.  RxNo.   DataType    RealValue     ImagValue      Error
    1      1        1    4.301004e-04    3.124862e-04    6.692749e-05
    1      1        2   -5.675216e-04   -4.795928e-04    6.496247e-05
    1      2        1    5.215230e-04    3.570942e-04    3.547178e-05
    1      2        2   -5.317268e-04   -4.541376e-04    2.381504e-05
    1      3        1    3.229995e-04    3.309898e-04    3.058058e-05
    1      3        2   -5.592845e-04   -4.896166e-04    5.199428e-05
    1      4        1    3.811809e-04    3.384283e-04    2.449418e-05
    1      4        2   -3.996489e-04   -4.485562e-04    5.196485e-05
    1      5        1    3.215927e-04    2.988423e-04    3.955122e-05
    1      5        2   -6.801041e-04   -4.054236e-04    9.410670e-05
    1      6        1    2.857598e-04    3.976768e-04    9.386016e-05
    1      6        2   -4.012604e-04   -4.472122e-04    4.141971e-05
    1      7        1    2.368241e-04    2.724349e-04    5.391126e-05
    1      7        2   -5.708416e-04   -3.484431e-04    5.433244e-05
    1      8        1    2.183010e-04    2.324670e-04    1.117173e-05
    1      8        2   -5.035465e-04   -4.646593e-04    5.011213e-05
    1      9        1    2.075427e-04    1.901779e-04    7.037471e-06
    1      9        2   -6.945221e-04   -4.684611e-04    7.323194e-05
    1     10        1    1.924305e-04    1.910917e-04    1.417353e-05
    1     10        2   -6.577915e-04   -4.206753e-04    4.293861e-05
    1     11        1    2.095153e-04    1.770541e-04    1.649871e-05
    1     11        2   -7.194710e-04   -5.304396e-04    1.267275e-04
    1     12        1    1.114095e-04    1.431118e-04    1.628997e-05
    1     12        2   -7.315058e-04   -4.786838e-04    1.494204e-04
    1     13        1    1.809230e-04    1.860471e-04    1.359750e-05
    1     13        2   -5.912817e-04   -5.085824e-04    5.633045e-05
    1     14        1    1.984015e-04    1.936119e-04    2.790777e-05
    1     14        2   -4.858651e-04   -4.757941e-04    4.799853e-05
    1     15        1    2.764048e-04    2.344083e-04    1.899326e-05
    1     15        2   -5.979333e-04   -3.736302e-04    5.168816e-05
    1     16        1    2.947913e-04    2.701265e-04    1.324174e-05
    1     16        2   -7.043651e-04   -4.182214e-04    6.515479e-05
    1     17        1    4.302018e-04    3.648377e-04    1.410186e-05
    1     17        2   -4.812818e-04   -4.863484e-04    1.710568e-05
    1     18        1    3.673224e-04    3.473595e-04    4.929907e-05
    1     18        2   -5.454210e-04   -4.674824e-04    2.203105e-04
    1     19        1    4.015416e-04    3.850644e-04    4.128302e-05
    1     19        2   -5.061074e-04   -4.938896e-04    6.359993e-05
    2      1        1    7.599132e-04    3.722776e-04    3.551181e-05
    2      1        2   -8.628999e-04   -3.987157e-04    2.409731e-05
    2      2        1    7.124807e-04    5.748994e-04    3.658590e-05
    2      2        2   -9.092300e-04   -4.239809e-04    2.881887e-05
    2      3        1    7.311648e-04    3.661401e-04    2.063158e-05
    2      3        2   -9.717991e-04   -3.886920e-04    1.097650e-04
    2      4        1    6.914999e-04    4.057006e-04    2.004316e-05
    2      4        2   -7.674971e-04   -3.826599e-04    4.123078e-05
    2      5        1    5.637632e-04    4.325907e-04    2.027613e-05
    2      5        2   -9.480162e-04   -3.849495e-04    2.779231e-05
    2      6        1    5.894363e-04    3.916205e-04    2.349446e-05
    2      6        2   -8.697138e-04   -3.781623e-04    6.269263e-05
    2      7        1    5.015413e-04    3.724775e-04    1.561816e-05
    2      7        2   -8.503722e-04   -3.750589e-04    2.852657e-05
    2      8        1    4.192540e-04    3.555533e-04    1.374300e-05
    2      8        2   -8.284784e-04   -3.951639e-04    2.790049e-05
    2      9        1    3.670661e-04    3.722274e-04    2.559380e-05
    2      9        2   -9.440224e-04   -3.195339e-04    4.400503e-05
    2     10        1    3.732867e-04    3.121162e-04    2.298509e-05
    2     10        2   -9.633402e-04   -3.373570e-04    2.557022e-05
    2     11        1    3.753603e-04    3.574508e-04    2.896816e-05
    2     11        2   -1.035226e-03   -2.106191e-04    3.344276e-05
    2     12        1    2.366675e-04    3.367437e-04    4.162381e-05
    2     12        2   -8.891698e-04   -3.701259e-04    7.652131e-05
    2     13        1    2.883518e-04    3.146808e-04    1.372849e-05
    2     13        2   -9.025985e-04   -3.428651e-04    2.413815e-05
    2     14        1    3.816109e-04    2.701956e-04    1.790089e-05
    2     14        2   -7.906536e-04   -3.653333e-04    2.177443e-05
    2     15        1    4.109525e-04    2.709732e-04    3.764587e-05
    2     15        2   -8.028107e-04   -3.065634e-04    3.744143e-05
    2     16        1    4.534387e-04    2.756950e-04    2.428984e-05
    2     16        2   -9.151013e-04   -2.762853e-04    2.919952e-05
    2     17        1    6.197162e-04    3.932839e-04    1.834939e-05
    2     17        2   -8.363196e-04   -4.409413e-04    2.363604e-05
    2     18        1    6.649014e-04    3.885369e-04    2.687122e-05
    2     18        2   -9.014611e-04   -4.632879e-04    3.614863e-05
