Format:             MT2DData_1.0
#Description:      Data file generated by MATLAB at 27-Aug-2022 14:15:03
#Comments:         
Receiver Location (m):    41
#     Y     Z
        0.00         0.00
      400.00         0.00
      800.00         0.00
     1200.00         0.00
     1600.00         0.00
     2000.00         0.00
     2400.00         0.00
     2800.00         0.00
     3200.00         0.00
     3600.00         0.00
     4000.00         0.00
     4400.00         0.00
     4800.00         0.00
     5200.00         0.00
     5600.00         0.00
     6000.00         0.00
     6400.00         0.00
     6800.00         0.00
     7200.00         0.00
     7600.00         0.00
     8000.00         0.00
     8400.00         0.00
     8800.00         0.00
     9200.00         0.00
     9600.00         0.00
    10000.00         0.00
    10400.00         0.00
    10800.00         0.00
    11200.00         0.00
    11600.00         0.00
    12000.00         0.00
    12400.00         0.00
    12800.00         0.00
    13200.00         0.00
    13600.00         0.00
    14000.00         0.00
    14400.00         0.00
    14800.00         0.00
    15200.00         0.00
    15600.00         0.00
    16000.00         0.00
Frequencies (Hz):    11
    1.00000e+02
    3.98110e+01
    1.58490e+01
    6.30960e+00
    2.51190e+00
    1.00000e+00
    3.98110e-01
    1.58490e-01
    6.30960e-02
    2.51190e-02
    1.00000e-02
DataType:  Impedance
DataComp:     2
ZXY
ZYX
Data Block:     902
# FreqNo.  RxNo.   DataType    RealValue     ImagValue      Error
    1      1        1    2.004879e-01    1.986622e-01    1.406133e-02
    1      1        2   -1.815385e-01   -1.987207e-01    1.403792e-02
    1      2        1    2.007429e-01    1.986635e-01    1.406136e-02
    1      2        2   -2.128866e-01   -1.987209e-01    1.403793e-02
    1      3        1    1.869962e-01    1.986660e-01    1.406133e-02
    1      3        2   -2.007160e-01   -1.987214e-01    1.403794e-02
    1      4        1    1.963421e-01    1.986671e-01    1.406097e-02
    1      4        2   -2.104842e-01   -1.987223e-01    1.403793e-02
    1      5        1    2.015532e-01    1.986551e-01    1.405970e-02
    1      5        2   -1.805464e-01   -1.987218e-01    1.403775e-02
    1      6        1    1.954518e-01    1.986012e-01    1.405671e-02
    1      6        2   -2.011884e-01   -1.987128e-01    1.403712e-02
    1      7        1    1.708891e-01    1.984630e-01    1.405223e-02
    1      7        2   -2.091833e-01   -1.986768e-01    1.403570e-02
    1      8        1    1.796041e-01    1.982280e-01    1.405055e-02
    1      8        2   -2.037821e-01   -1.985836e-01    1.403413e-02
    1      9        1    2.071457e-01    1.980166e-01    1.406345e-02
    1      9        2   -1.772319e-01   -1.984273e-01    1.403756e-02
    1     10        1    2.262127e-01    1.981207e-01    1.410584e-02
    1     10        2   -2.010017e-01   -1.983315e-01    1.406050e-02
    1     11        1    1.977035e-01    1.986415e-01    1.417394e-02
    1     11        2   -1.892229e-01   -1.985186e-01    1.411699e-02
    1     12        1    2.104579e-01    1.990563e-01    1.423272e-02
    1     12        2   -1.914793e-01   -1.987416e-01    1.418063e-02
    1     13        1    2.153151e-01    1.990761e-01    1.425973e-02
    1     13        2   -2.243575e-01   -1.986203e-01    1.421170e-02
    1     14        1    2.122234e-01    1.989521e-01    1.426605e-02
    1     14        2   -2.050037e-01   -1.983815e-01    1.421705e-02
    1     15        1    1.937555e-01    1.988633e-01    1.426607e-02
    1     15        2   -2.136562e-01   -1.982331e-01    1.421526e-02
    1     16        1    2.228995e-01    1.988459e-01    1.426607e-02
    1     16        2   -2.153315e-01   -1.982131e-01    1.421542e-02
    1     17        1    1.869496e-01    1.989064e-01    1.426737e-02
    1     17        2   -2.007574e-01   -1.983460e-01    1.421968e-02
    1     18        1    2.329942e-01    1.990571e-01    1.426772e-02
    1     18        2   -2.032176e-01   -1.986859e-01    1.422334e-02
    1     19        1    2.083735e-01    1.992448e-01    1.425706e-02
    1     19        2   -2.159679e-01   -1.991364e-01    1.420547e-02
    1     20        1    2.265832e-01    1.991630e-01    1.421175e-02
    1     20        2   -1.986334e-01   -1.991436e-01    1.412603e-02
    1     21        1    2.082542e-01    1.983423e-01    1.411115e-02
    1     21        2   -2.105661e-01   -1.982821e-01    1.398429e-02
    1     22        1    2.103454e-01    1.971491e-01    1.398490e-02
    1     22        2   -1.894589e-01   -1.976186e-01    1.387652e-02
    1     23        1    1.802505e-01    1.965231e-01    1.388860e-02
    1     23        2   -1.931886e-01   -1.975413e-01    1.383448e-02
    1     24        1    1.886534e-01    1.965535e-01    1.383973e-02
    1     24        2   -1.918315e-01   -1.976353e-01    1.382396e-02
    1     25        1    1.906943e-01    1.968403e-01    1.382420e-02
    1     25        2   -1.958449e-01   -1.977113e-01    1.382242e-02
    1     26        1    1.796371e-01    1.970822e-01    1.382434e-02
    1     26        2   -1.976539e-01   -1.977482e-01    1.382252e-02
    1     27        1    2.046019e-01    1.971879e-01    1.383104e-02
    1     27        2   -1.690695e-01   -1.977544e-01    1.382276e-02
    1     28        1    1.782835e-01    1.972182e-01    1.384440e-02
    1     28        2   -1.655931e-01   -1.977357e-01    1.382403e-02
    1     29        1    2.161396e-01    1.973343e-01    1.387038e-02
    1     29        2   -1.911209e-01   -1.977204e-01    1.383084e-02
    1     30        1    1.916445e-01    1.977168e-01    1.391434e-02
    1     30        2   -2.037118e-01   -1.978385e-01    1.385536e-02
    1     31        1    2.084527e-01    1.983561e-01    1.397161e-02
    1     31        2   -2.048618e-01   -1.983165e-01    1.391326e-02
    1     32        1    1.912893e-01    1.989002e-01    1.402436e-02
    1     32        2   -1.843107e-01   -1.989136e-01    1.398619e-02
    1     33        1    2.046331e-01    1.990682e-01    1.405636e-02
    1     33        2   -1.851434e-01   -1.990598e-01    1.402848e-02
    1     34        1    2.060224e-01    1.989699e-01    1.406760e-02
    1     34        2   -2.038209e-01   -1.989349e-01    1.404058e-02
    1     35        1    1.918487e-01    1.988185e-01    1.406775e-02
    1     35        2   -1.871462e-01   -1.988095e-01    1.404094e-02
    1     36        1    1.896596e-01    1.987171e-01    1.406496e-02
    1     36        2   -1.816868e-01   -1.987469e-01    1.403939e-02
    1     37        1    2.102021e-01    1.986725e-01    1.406277e-02
    1     37        2   -1.943015e-01   -1.987252e-01    1.403841e-02
    1     38        1    1.991105e-01    1.986602e-01    1.406172e-02
    1     38        2   -1.932024e-01   -1.987201e-01    1.403802e-02
    1     39        1    2.271789e-01    1.986599e-01    1.406139e-02
    1     39        2   -1.999106e-01   -1.987198e-01    1.403791e-02
    1     40        1    1.771653e-01    1.986616e-01    1.406134e-02
    1     40        2   -1.714474e-01   -1.987202e-01    1.403790e-02
    1     41        1    2.076278e-01    1.986627e-01    1.406136e-02
    1     41        2   -2.074265e-01   -1.987205e-01    1.403790e-02
    2      1        1    1.431411e-01    1.253219e-01    8.864768e-03
    2      1        2   -1.204224e-01   -1.253644e-01    8.862509e-03
    2      2        1    1.280302e-01    1.252819e-01    8.863740e-03
    2      2        2   -1.322010e-01   -1.253597e-01    8.862421e-03
    2      3        1    1.160268e-01    1.252235e-01    8.863199e-03
    2      3        2   -1.409872e-01   -1.253531e-01    8.862445e-03
    2      4        1    1.218235e-01    1.251570e-01    8.864639e-03
    2      4        2   -1.346665e-01   -1.253463e-01    8.862852e-03
    2      5        1    1.315337e-01    1.251204e-01    8.870965e-03
    2      5        2   -1.281881e-01   -1.253464e-01    8.864255e-03
    2      6        1    1.418750e-01    1.252040e-01    8.886914e-03
    2      6        2   -1.120550e-01   -1.253749e-01    8.868032e-03
    2      7        1    1.281444e-01    1.255764e-01    8.918753e-03
    2      7        2   -1.281028e-01   -1.254889e-01    8.877076e-03
    2      8        1    1.376182e-01    1.264971e-01    8.972436e-03
    2      8        2   -1.360209e-01   -1.258313e-01    8.897224e-03
    2      9        1    1.337836e-01    1.282640e-01    9.049261e-03
    2      9        2   -1.320865e-01   -1.267226e-01    8.938846e-03
    2     10        1    1.238492e-01    1.310107e-01    9.140873e-03
    2     10        2   -1.323336e-01   -1.287178e-01    9.015830e-03
    2     11        1    1.320049e-01    1.343522e-01    9.233210e-03
    2     11        2   -1.332096e-01   -1.321765e-01    9.134063e-03
    2     12        1    1.160874e-01    1.373471e-01    9.319335e-03
    2     12        2   -1.207870e-01   -1.360514e-01    9.268753e-03
    2     13        1    1.219458e-01    1.392796e-01    9.388145e-03
    2     13        2   -1.227790e-01   -1.387349e-01    9.376312e-03
    2     14        1    1.228084e-01    1.402274e-01    9.430230e-03
    2     14        2   -1.240616e-01   -1.400880e-01    9.441111e-03
    2     15        1    1.073947e-01    1.405949e-01    9.449471e-03
    2     15        2   -1.224729e-01   -1.406241e-01    9.470334e-03
    2     16        1    1.438354e-01    1.406535e-01    9.452362e-03
    2     16        2   -1.170055e-01   -1.406967e-01    9.471847e-03
    2     17        1    1.347707e-01    1.404559e-01    9.440224e-03
    2     17        2   -1.287062e-01   -1.403083e-01    9.443788e-03
    2     18        1    1.275910e-01    1.398309e-01    9.407516e-03
    2     18        2   -1.234118e-01   -1.390436e-01    9.372011e-03
    2     19        1    1.265489e-01    1.383369e-01    9.344058e-03
    2     19        2   -1.326216e-01   -1.360362e-01    9.235634e-03
    2     20        1    1.227435e-01    1.353758e-01    9.247001e-03
    2     20        2   -1.265630e-01   -1.304140e-01    9.031741e-03
    2     21        1    1.231314e-01    1.308324e-01    9.134964e-03
    2     21        2   -1.188190e-01   -1.231524e-01    8.816490e-03
    2     22        1    1.475846e-01    1.256434e-01    9.023090e-03
    2     22        2   -1.386963e-01   -1.177877e-01    8.668909e-03
    2     23        1    1.319126e-01    1.210637e-01    8.910244e-03
    2     23        2   -1.399144e-01   -1.152441e-01    8.593925e-03
    2     24        1    1.424913e-01    1.177414e-01    8.807542e-03
    2     24        2   -1.154535e-01   -1.142479e-01    8.560786e-03
    2     25        1    1.161990e-01    1.157023e-01    8.728130e-03
    2     25        2   -1.108745e-01   -1.138693e-01    8.546798e-03
    2     26        1    1.208038e-01    1.147288e-01    8.677407e-03
    2     26        2   -1.255266e-01   -1.137223e-01    8.541049e-03
    2     27        1    1.392193e-01    1.145989e-01    8.654097e-03
    2     27        2   -1.261987e-01   -1.136936e-01    8.539788e-03
    2     28        1    1.464840e-01    1.151578e-01    8.652800e-03
    2     28        2   -1.103608e-01   -1.138124e-01    8.543445e-03
    2     29        1    1.296887e-01    1.163003e-01    8.665372e-03
    2     29        2   -1.436990e-01   -1.142592e-01    8.555907e-03
    2     30        1    1.243244e-01    1.179060e-01    8.682805e-03
    2     30        2   -1.343600e-01   -1.154428e-01    8.584323e-03
    2     31        1    1.195874e-01    1.197728e-01    8.700925e-03
    2     31        2   -1.360149e-01   -1.178379e-01    8.635892e-03
    2     32        1    1.258269e-01    1.216215e-01    8.725392e-03
    2     32        2   -1.078770e-01   -1.209343e-01    8.706720e-03
    2     33        1    1.183028e-01    1.231794e-01    8.759519e-03
    2     33        2   -1.273323e-01   -1.232707e-01    8.773323e-03
    2     34        1    1.347540e-01    1.242914e-01    8.795888e-03
    2     34        2   -1.142052e-01   -1.245106e-01    8.818004e-03
    2     35        1    1.289624e-01    1.249641e-01    8.826148e-03
    2     35        2   -1.159705e-01   -1.250526e-01    8.842208e-03
    2     36        1    1.326293e-01    1.253035e-01    8.846959e-03
    2     36        2   -1.285392e-01   -1.252637e-01    8.853787e-03
    2     37        1    1.289379e-01    1.254357e-01    8.859135e-03
    2     37        2   -1.278797e-01   -1.253397e-01    8.858967e-03
    2     38        1    1.173056e-01    1.254610e-01    8.865145e-03
    2     38        2   -1.196432e-01   -1.253650e-01    8.861208e-03
    2     39        1    1.259651e-01    1.254432e-01    8.867480e-03
    2     39        2   -1.269459e-01   -1.253723e-01    8.862166e-03
    2     40        1    1.279954e-01    1.254157e-01    8.867971e-03
    2     40        2   -1.165444e-01   -1.253735e-01    8.862573e-03
    2     41        1    1.289094e-01    1.253924e-01    8.867734e-03
    2     41        2   -1.235789e-01   -1.253727e-01    8.862732e-03
    3      1        1    8.105779e-02    7.911764e-02    5.607602e-03
    3      1        2   -7.882630e-02   -7.915702e-02    5.595687e-03
    3      2        1    7.528723e-02    7.925196e-02    5.617621e-03
    3      2        2   -7.469907e-02   -7.918710e-02    5.596372e-03
    3      3        1    8.773364e-02    7.949020e-02    5.631736e-03
    3      3        2   -8.206782e-02   -7.922805e-02    5.596984e-03
    3      4        1    9.083323e-02    7.988152e-02    5.650556e-03
    3      4        2   -8.002051e-02   -7.928410e-02    5.597396e-03
    3      5        1    7.861532e-02    8.048563e-02    5.673992e-03
    3      5        2   -8.398047e-02   -7.936471e-02    5.597506e-03
    3      6        1    7.534344e-02    8.136700e-02    5.700490e-03
    3      6        2   -8.415483e-02   -7.949282e-02    5.597281e-03
    3      7        1    8.136552e-02    8.257819e-02    5.725787e-03
    3      7        2   -6.963414e-02   -7.972265e-02    5.596717e-03
    3      8        1    8.118506e-02    8.412204e-02    5.741295e-03
    3      8        2   -7.329247e-02   -8.017295e-02    5.595297e-03
    3      9        1    8.366852e-02    8.588718e-02    5.733418e-03
    3      9        2   -8.816994e-02   -8.107213e-02    5.590188e-03
    3     10        1    7.165216e-02    8.760876e-02    5.689210e-03
    3     10        2   -7.273540e-02   -8.275463e-02    5.574248e-03
    3     11        1    7.251467e-02    8.904434e-02    5.616767e-03
    3     11        2   -7.798962e-02   -8.539228e-02    5.544825e-03
    3     12        1    5.924446e-02    9.029138e-02    5.557902e-03
    3     12        2   -6.197775e-02   -8.838239e-02    5.525701e-03
